,woning,café / bar / restaurant,winkel,overig bedrijf,hogeschool / universiteit,dagverblijf,kantoor,(detail)handel / winkel,garage,beroepsonderwijs  (LBO / MBO),woning + winkel,opslag / distributie,atelier / werkruimte met woning,recreatie / sportcentrum,woning + café/bar/restaurant,praktijkruimte,missing,atelier / werkruimte,parkeergarage geëxploiteerd voor kortparkeren,bijzondere woonfunctie,overig cultureel,crèche / peuterspeelzaal,cafetaria / snackbar,kantoor in bedrijfsverzamelgebouw,kerk,horeca,cultuur,overig medisch,hotel / motel,dienstverlening openbaar nut,bedrijf,basisschool,praktijkruimte (tandarts / fysiotherapeut),geldautomaat / pinautomaat,sport / recreatie,wijk- / buurtcentrum,trafo,woning + kantoor,verpleegtehuis,benzinestation,woning + bedrijf (overig),showroom / werkplaats / garage,speeltuin,kantoor (hoofdcode),verblijf voor verstandelijk gehandicapten,onderwijs,algemeen voortgezet onderwijs  (MAVO / HAVO /,productie (fabriek),woning + showroom/ werkplaats/ garage,bar / dancing,gemaal,museum,medisch dagverblijf,medisch,ziekenhuis,woning + (detail)handel / winkel,begraafplaats,parkeerplaats in parkeergarage,busstation,woning + opslag/ distributie,woning + praktijkruimte,speciaal onderwijs,moskee,clubhuis,volkstuin,overig energie en water,groothandel,politiebureau,kiosk,agrarisch object,woning + agrarisch object,gezinsvervangend tehuis,overig sport en recreatie,woning + cafetaria/snackbar,toonzaal,woning + agrarische niet-woning (overig),crematorium,collectieve parkeerplaats bij woningen,overig horeca,verzorgings- / bejaardentehuis (complex),NS-station,brandweerkazerne,telefooncentrale,klooster,overig (detail)handel,overig gemeenschapsgebouw,stroomdistributiestation,woning + bedrijf,zwembad,sporthal / sportzaal / gymnastieklokaal,woning + productie (fabriek),gevangenis,bibliotheek,laboratorium,woning + bar/dancing,schouwburg / concertgebouw,bioscoop,woning + horeca (overig),transport,camping,woning + (detail)handel overig,woning + horeca,tuinbouwbedrijf (incl bloembollenteelt),woning + kantoor (hoofdcode),woning + toonzaal,woning + stoeterij / manege / paardenfokkerij,woning + tuinbouwbedrijf (incl bloembollentee,bordeel / relaxruimte,kinderboerderij,psychiatrisch ziekenhuis,tennisbaan,overig eredienst,expositiehal / evenementenhal,tbv landsverdediging,tuincentrum,(poli)kliniek,overige bijzondere woonfuncties,kleedgebouw / toiletten,stoeterij / manege / paardenfokkerij,bedrijfsboot,gasdistributiestation,woning + kantoor in bedrijfsverzamelgebouw,overig transport,gemeentewerken,parkeerplaats (niet dienstbaar aan wonen),sauna,pension / logiesgebouw,overige agrarische niet-woningen,reinwaterkelder,terrein,woning + kerk,aula,overig kantoor,gemeenschapsgebouw,eredienst,woning + intensieve veehouderij pluimvee,woning + hotel/motel,kantine,kapel,proefboerderij (zowel akkerbouw als veeteelt),woning + pension/logiesgebouw,euclidean_distance,cosine_distance
1015,0.8813559322033898,0.011003638299760405,0.029372615138876564,0.00044369509273227436,8.873901854645488e-05,8.873901854645488e-05,0.018280237820569704,0.00044369509273227436,0.0012423462596503683,0.0,0.001331085278196823,0.010471204188481676,0.0002662170556393646,8.873901854645488e-05,0.0002662170556393646,0.0006211731298251842,0.0263554885082971,0.0070103824651699355,0.000709912148371639,8.873901854645488e-05,0.0,8.873901854645488e-05,0.00044369509273227436,0.00017747803709290975,0.000709912148371639,0.0002662170556393646,0.001419824296743278,0.0,0.001508563315289733,8.873901854645488e-05,0.0011536072411039134,0.0005324341112787292,0.00044369509273227436,0.0,8.873901854645488e-05,0.0,8.873901854645488e-05,0.0003549560741858195,0.00017747803709290975,0.0,0.0,8.873901854645488e-05,0.0,0.0009761292040110037,0.0,0.0,0.0,0.0,0.0,8.873901854645488e-05,0.0,0.0002662170556393646,0.0,0.00017747803709290975,0.0,0.0,0.0,0.0,0.0,0.00017747803709290975,0.00017747803709290975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002662170556393646,0.0,0.0,0.0,0.0,0.00017747803709290975,0.0,0.0,0.0,0.0,0.0,8.873901854645488e-05,0.0,0.0,0.0,8.873901854645488e-05,0.0,0.00017747803709290975,0.0,0.0,8.873901854645488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.873901854645488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48910066440075745,0.16143938753468667
1054,0.8553277252015422,0.010339992989835262,0.02392218717139853,0.0011391517700665966,0.0,0.0002628811777076761,0.011566771819137749,0.0006133894146512443,0.0006133894146512443,0.0002628811777076761,0.0007010164738871364,0.0033298282509638976,8.762705923589205e-05,0.0006133894146512443,0.0,0.0003505082369435682,0.027690150718541886,0.009989484752891693,0.0006133894146512443,0.0002628811777076761,0.0,0.0008762705923589204,0.0007886435331230284,0.029355064844023834,0.0002628811777076761,0.0002628811777076761,0.0011391517700665966,0.0001752541184717841,0.006747283561163687,8.762705923589205e-05,0.0077111812127585,0.0002628811777076761,0.0001752541184717841,8.762705923589205e-05,0.0,0.0,8.762705923589205e-05,0.0003505082369435682,0.0,0.0,0.0,0.0,0.0,0.001927795303189625,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0009638976515948125,0.0002628811777076761,0.0,0.0,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001752541184717841,0.0,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.762705923589205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47075752600570053,0.16059621943801605
1072,0.8942827442827442,0.015904365904365905,0.0395010395010395,0.002390852390852391,0.0,0.00010395010395010396,0.008108108108108109,0.0009355509355509356,0.0002079002079002079,0.0,0.0006237006237006237,0.005717255717255718,0.00031185031185031187,0.0007276507276507277,0.00031185031185031187,0.0009355509355509356,0.014137214137214138,0.0035343035343035345,0.0016632016632016633,0.0002079002079002079,0.00010395010395010396,0.0005197505197505198,0.0032224532224532226,0.0009355509355509356,0.00010395010395010396,0.0008316008316008316,0.0010395010395010396,0.0,0.0008316008316008316,0.0,0.0002079002079002079,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0,0.00010395010395010396,0.0,0.00010395010395010396,0.0,0.0,0.0,0.0004158004158004158,0.0,0.0,0.00031185031185031187,0.00010395010395010396,0.0,0.0,0.0,0.0002079002079002079,0.0,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0002079002079002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031185031185031187,0.00010395010395010396,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010395010395010396,0.00010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074760376831252,0.16955653199119436
1094,0.9230661238242314,0.006879123964621648,0.018391127333988486,0.0005615611399691141,0.0,0.00014039028499227853,0.007019514249613927,0.0,0.0,0.00014039028499227853,0.00028078056998455706,0.0014039028499227854,0.0,0.0,0.0,0.0005615611399691141,0.019514249613926716,0.004211708549768356,0.0,0.0018250737048996209,0.0,0.00014039028499227853,0.00014039028499227853,0.008002246244559877,0.0007019514249613927,0.00014039028499227853,0.001544293134915064,0.0004211708549768356,0.00014039028499227853,0.0,0.00028078056998455706,0.0007019514249613927,0.0007019514249613927,0.0,0.0,0.00028078056998455706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001544293134915064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014039028499227853,0.00028078056998455706,0.0,0.0,0.0,0.0,0.0004211708549768356,0.0,0.0,0.0,0.0,0.00028078056998455706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014039028499227853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5237988158636536,0.1663127614268719
1016,0.8016846145644525,0.01524682802004478,0.050858300458471055,0.0013860752745495255,0.00010662117496534811,0.00021324234993069622,0.0341187759889114,0.0012794540995841775,0.0019191811493762662,0.0,0.0012794540995841775,0.012154813946049685,0.00031986352489604436,0.0006397270497920887,0.00031986352489604436,0.0006397270497920887,0.03646444183814906,0.011728329246188293,0.0011728329246188294,0.0,0.0,0.0005331058748267406,0.0007463482247574368,0.0059707857980594945,0.0006397270497920887,0.00021324234993069622,0.0008529693997227849,0.0,0.004371468173579273,0.00021324234993069622,0.0012794540995841775,0.00042648469986139245,0.00031986352489604436,0.00021324234993069622,0.00010662117496534811,0.0,0.0,0.0017059387994455698,0.0,0.00010662117496534811,0.0,0.00021324234993069622,0.0,0.0023456658492376587,0.0,0.00010662117496534811,0.00042648469986139245,0.0,0.0,0.00021324234993069622,0.0,0.0010662117496534813,0.0,0.0,0.0,0.00010662117496534811,0.0,0.0,0.0,0.00031986352489604436,0.0,0.00021324234993069622,0.00010662117496534811,0.0,0.0,0.0,0.0,0.00031986352489604436,0.0,0.0,0.0,0.0,0.00021324234993069622,0.0,0.00031986352489604436,0.0,0.0,0.0,0.00010662117496534811,0.003625119948821836,0.0,0.00010662117496534811,0.0,0.0,0.0,0.0,0.0,0.00031986352489604436,0.0,0.00031986352489604436,0.0,0.0,0.0,0.0,0.0,0.00021324234993069622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010662117496534811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306928437601901,0.15422244762524928
1052,0.9300744162176033,0.007954837054144213,0.01565306646138055,0.0008981267641775725,0.0,0.00012830382345393893,0.0050038491147036184,0.00012830382345393893,0.0,0.0,0.0006415191172696946,0.0032075955863484734,0.00012830382345393893,0.0,0.00025660764690787786,0.0006415191172696946,0.016807800872466,0.0024377726456248396,0.00012830382345393893,0.0,0.0,0.00038491147036181676,0.001539645881447267,0.0005132152938157557,0.0006415191172696946,0.00012830382345393893,0.004618937644341801,0.0,0.0011547344110854503,0.00012830382345393893,0.0014113420579933281,0.00038491147036181676,0.0006415191172696946,0.0,0.0,0.00038491147036181676,0.0,0.0,0.00038491147036181676,0.0,0.00012830382345393893,0.00012830382345393893,0.00012830382345393893,0.0,0.0,0.0,0.00038491147036181676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012830382345393893,0.0,0.0,0.00012830382345393893,0.0,0.00012830382345393893,0.0,0.0,0.0,0.0,0.0,0.00025660764690787786,0.0,0.0,0.0,0.00012830382345393893,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0011547344110854503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012830382345393893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306857260696656,0.16794487486629894
1091,0.9308080808080809,0.00797979797979798,0.011414141414141415,0.000505050505050505,0.0025252525252525255,0.0,0.010202020202020202,0.0,0.0011111111111111111,0.0,0.00040404040404040404,0.004646464646464647,0.00020202020202020202,0.0006060606060606061,0.0,0.0008080808080808081,0.012222222222222223,0.0044444444444444444,0.0007070707070707071,0.0013131313131313131,0.0,0.0008080808080808081,0.0012121212121212121,0.0,0.000505050505050505,0.00040404040404040404,0.000505050505050505,0.00020202020202020202,0.0007070707070707071,0.0,0.000505050505050505,0.000505050505050505,0.000505050505050505,0.0,0.0,0.0007070707070707071,0.00020202020202020202,0.00010101010101010101,0.0,0.0,0.0,0.0,0.00010101010101010101,0.0008080808080808081,0.0,0.0,0.00010101010101010101,0.00010101010101010101,0.0,0.00010101010101010101,0.0,0.0,0.0,0.00020202020202020202,0.0007070707070707071,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.00010101010101010101,0.00020202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5341090050207994,0.17053682107448298
1013,0.8389599782194391,0.007010618023414103,0.021236046828205825,0.01116253743533896,0.0,0.00034032126327252925,0.02872311462020147,0.00047644976858154096,0.00034032126327252925,6.806425265450586e-05,0.0006125782738905527,0.010618023414102912,0.0,0.00040838551592703513,0.0002722570106180234,0.0005445140212360468,0.038592431255104816,0.008644160087122243,0.0012932208004356111,0.0005445140212360468,0.0,0.00034032126327252925,0.00047644976858154096,0.009324802613667301,6.806425265450586e-05,0.00020419275796351757,0.0008167710318540703,0.0,0.0014293493057446229,0.0001361285053090117,0.005853525728287503,0.0006125782738905527,0.00020419275796351757,0.0,0.0002722570106180234,0.0002722570106180234,0.00034032126327252925,0.0001361285053090117,0.0,6.806425265450586e-05,0.0,6.806425265450586e-05,6.806425265450586e-05,0.003199019874761775,0.0,0.0,0.0001361285053090117,6.806425265450586e-05,0.0,6.806425265450586e-05,0.0,6.806425265450586e-05,0.0,0.0,0.0,0.0,0.0,0.0001361285053090117,0.0,0.00040838551592703513,0.0,0.0,0.0,6.806425265450586e-05,6.806425265450586e-05,6.806425265450586e-05,6.806425265450586e-05,6.806425265450586e-05,0.00020419275796351757,0.0,0.0,6.806425265450586e-05,0.0001361285053090117,0.0001361285053090117,0.0,0.0,0.0,0.0001361285053090117,0.00034032126327252925,0.002654505853525728,0.0,0.0,6.806425265450586e-05,0.0,0.0001361285053090117,0.0,0.0,0.0,6.806425265450586e-05,0.0,0.0,0.0,6.806425265450586e-05,0.0,0.0,0.0001361285053090117,0.00020419275796351757,0.0,0.0001361285053090117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.806425265450586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.806425265450586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034032126327252925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.806425265450586e-05,0.0,0.0,0.0,0.4499475041416433,0.15192823544036982
1069,0.9107308438000505,0.002107392733709854,0.009609710865716934,0.005984995363735986,0.0,0.0,0.0037090112113293433,0.00042147854674197085,0.028239062631712046,0.0,0.0,0.0006743656747871534,0.0,0.0002528871280451825,0.0,0.0007586613841355475,0.013908792042485038,0.0002528871280451825,0.0009272528028323358,0.00016859141869678834,0.0,0.0008429570934839417,0.0003371828373935767,0.0013487313495743067,0.00042147854674197085,0.0,0.00016859141869678834,8.429570934839417e-05,0.0,0.00016859141869678834,0.0003371828373935767,0.0013487313495743067,0.0002528871280451825,0.0,8.429570934839417e-05,0.0010958442215291242,0.0010958442215291242,0.0,0.0,0.0,0.0,0.00016859141869678834,0.0,0.00016859141869678834,0.0,0.0,8.429570934839417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.429570934839417e-05,0.0002528871280451825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016859141869678834,0.0,0.0,0.0003371828373935767,0.0,0.0,0.0012644356402259126,0.0,0.011464216471381607,0.0,0.0,0.0,0.0,0.000505774256090365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.429570934839417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.429570934839417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188420581292471,0.16962482077875574
1095,0.9123953675037266,0.002178649237472767,0.007338607957803004,0.0013759889920880633,0.0,0.0006879944960440316,0.005274624469670909,0.0008026602453847036,0.00022933149868134388,0.0,0.0,0.00355463822956083,0.0,0.0,0.0,0.00011466574934067194,0.056530214424951264,0.0005733287467033597,0.0,0.00011466574934067194,0.0,0.0005733287467033597,0.0003439972480220158,0.0,0.0,0.0005733287467033597,0.0006879944960440316,0.0,0.0,0.00011466574934067194,0.0005733287467033597,0.0009173259947253755,0.0003439972480220158,0.0,0.00011466574934067194,0.00022933149868134388,0.00011466574934067194,0.0,0.0,0.00011466574934067194,0.0003439972480220158,0.00011466574934067194,0.0,0.0,0.0,0.0,0.00011466574934067194,0.0,0.00011466574934067194,0.0,0.00011466574934067194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003439972480220158,0.0,0.00011466574934067194,0.0,0.00022933149868134388,0.0,0.0,0.0,0.0,0.0,0.0,0.0005733287467033597,0.0,0.0,0.0,0.0,0.0,0.0,0.00045866299736268775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011466574934067194,0.0,0.0005733287467033597,0.0,0.0,0.00011466574934067194,0.0,0.0,0.0,0.0,0.0,0.00011466574934067194,0.00011466574934067194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022933149868134388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022933149868134388,0.0,0.00011466574934067194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913552821658129,0.14454853995802952
